日付(利用日),,科目,title,インボイス番号,税率10％,税率8％,金額（式）,金額,消費税10％分,消費税8％分
2025/01/02,02,会議費,ちよだ鮨,T4010001063000,,646,646,646,0,479
2025/01/04,04,会議費,くまめん,T2010001234429,3180,,3180,3180,289,0
2025/01/04,04,接待交際費（贈答品）,備品:差し入れ,,,,0,363,0,0
2025/01/07,07,会議費,満丸,T2810998242484,4070,,4070,4070,370,0
2025/01/08,08,交通費,新幹線代,,14520,,14520,14520,1320,0
2025/01/10,10,会議費,コロッセオ,T4013201017618,2300,,2300,2300,209,0
2025/01/10,10,出張旅費,電車賃,,1000,,1000,1000,91,0
2025/01/11,11,研究開発費,週刊少年ジャンプ,T5010001018556,900,,900,900,82,0
2025/01/11,11,"出張旅費, 諸会費諸会費",大阪出張　食事,T5120002051223,52000,,52000,52000,4727,0
2025/01/11,11,会議費,ラーメンすぎ田,なし,1100,,1100,1100,100,0
2025/01/11,11,出張旅費,同期会・大阪,T5120002051223,52000,,52000,52000,4727,0
2025/01/11,11,出張旅費,飲み物,T2810068786420,,149,149,149,0,110
2025/01/12,12,出張旅費,大阪出張　宿泊,T3120001086874,4100,,4100,4100,373,0
2025/01/12,12,出張旅費,京都出張　食事,T2120001030585,7180,,7180,7180,653,0
2025/01/12,12,出張旅費,大阪出張,,1200,,1200,1200,109,0
2025/01/12,12,出張旅費,関西業界ランチ,T2120001030585,7180,,7180,7180,653,0
2025/01/12,12,研究開発費,BAR巡り2,,4070,,4070,4070,370,0
2025/01/12,12,研究開発費,Bar巡り,,1200,,1200,1200,109,0
2025/01/12,12,出張旅費,出張先・宿泊費用,T3120001086874,4100,,4100,4100,373,0
2025/01/12,12,出張旅費,朝飯,T9810010808630,,281,281,281,0,208
2025/01/13,13,接待交際費,大阪出張　ニコバー,T3011101089209,4070,,4070,4070,370,0
2025/01/13,13,出張旅費,大阪出張　宿泊,T3120001086874,4100,,4100,4100,373,0
